id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,3G Handy Guide: Building Web Sites (Book with DVD),3G Editorial Board,CSE,2020,,9781984637789,3G E-Learning LLC,2,160.00,"12,464.00",https://www.delvepublishing.com/book/engineering-and-technology/sustainable-energy-solutions.html,
,3G Handy Guide: Digital Production and Editing ,3G Editorial Board,CSE,2019,,9781680948936,3G E-Learning LLC,2,160.00,"12,464.00",https://www.3ge-learning.com/book/business-and-management/3ge-collection-on-business-management-pricing-strategies-a-marketing-approach.html,
,3G Handy Guide: Graphic Designing ,3G Editorial Board,CSE,2019,,9781984623843,3G E-Learning LLC,2,160.00,"12,464.00",https://www.3ge-learning.com/book/chemistry/3ge-collection-on-physics-and-chemsitry-chemo-informatics.html,
,3GE Collection on Computer Science: Advances in Game Theory,3G Editorial Board,CSE,2021,,9781984647153,3G E-Learning,2,170.00,"13,243.00","https://www.arclerpress.com/book/engineering-and-technology/digital-communication-systems-signals,-channels,-and-signaling.html",
,3GE Collection on Computer Science: Building Dependable Distributed Systems,3G Editorial Board,CSE,2020,,9781984635679,3G E-Learning LLC,2,175.00,"13,632.50",https://www.delvepublishing.com/book/animal-and-veterinary-science/veterinary-entomology.html,
,3GE Collection on Computer Science: Computer-Based Numerical and Statistical Techniques,3G Editorial Board,CSE,2020,,9781984635686,3G E-Learning LLC,2,175.00,"13,632.50",https://www.delvepublishing.com/book/animal-and-veterinary-science/veterinary-bacteriology.html,
,3GE Collection on Computer Science: Data Structures and Algorithms in Java,3G Editorial Board,CSE,2021,,9781984647160,3G E-Learning,2,170.00,"13,243.00",https://www.arclerpress.com/book/mathematics-and-statistics/elements-of-financial-mathematics-from-interest-theory-to-options.html,
,3GE Collection on Computer Science: Information Assurance and Computer Security,3G Editorial Board,CSE,2021,,9781984647177,3G E-Learning,2,165.00,"12,853.50",https://www.arclerpress.com/book/chemistry/the-state-of-art-of-nuclear-chemistry-theoretical-and-practical-aspects.html,
,3GE Collection on Computer Science: Information Security & Privacy,3G Editorial Board,CSE,2018,,9781680959789,3G E-Learning ,2,65.00,"5,063.50",https://3ge-learning.com/book/careers/career-guide-midwifery-2nd-edition.html,
,3GE Collection on Computer Science: Mathematical Structures for Computer Graphics,3G Editorial Board,CSE,2020,,9781984635693,3G E-Learning LLC,2,160.00,"12,464.00",https://www.delvepublishing.com/book/life-science/artificial-intelligence-in-biotechnology.html,
,3GE Collection on Computer Science: Social Media and Machine Learning,3G Editorial Board,CSE,2021,,9781984647146,3G E-Learning,2,170.00,"13,243.00",https://www.arclerpress.com/book/physics/neutrino-physics-from-discovery-to-cosmic-neutrinos.html,
,3GE Collection on Computer Science: Systems & Software Engineering,3G Editorial Board,CSE,2018,,9781680959772,3G E-Learning ,2,65.00,"5,063.50",https://3ge-learning.com/book/careers/career-guide-banking-and-finance-2nd-edition.html,
,5G Myth,"Webb,W.",CSE,2019,,9781547417285,DE GRUYTER,2,29.99,2738.09,https://www.degruyter.com/view/title/542995?rskey=gCz19z&result=1,
,A Beginner’s Guide to Using Open Access Data,ALRYALAT,CSE,2019,,9780367075033,CRC Press,2,16.99,1816.23,https://www.routledge.com/A-Beginners-Guide-to-Using-Open-Access-Data/AlRyalat-Momani/p/book/9780367075033,
,A Computational Approach to Statistical Learning,ARNOLD,CSE,2019,,9780367570613,Chapman & Hall,2,42.99,4595.63,https://www.routledge.com/A-Computational-Approach-to-Statistical-Learning/Arnold-Kane-Lewis/p/book/9780367570613,
,A Modern Approach to Computer Vision,Aria Anderson,CSE,2020,,9781641723824,Larsen and Keller Education,2,160.00,"12,464.00",https://larsen-keller.com/book/1,
,A Practical Approach to Data Structure and Algorithm with Programming in C,"Akhilesh Kumar Srivastava, APJ Abdul Kalam Technical University Lucknow, India",CSE,2020,,9781774073698,Arcler Press,2,145.00,"11,295.50",https://www.arclerpress.com/book/earth-and-environmental-sciences/.html,
,Ad Hoc Mobile Wireless Networking,Jakub Mervar,CSE,2021,,9781682517000,Intelliz Press,2,155.00,"12,074.50",https://www.arclerpress.com/book/engineering-and-computer-science/knowledge-management-and-representation.html,
,Advanced Data Science & Analytics with Python,"Salazar,J.R.",CSE,2020,,9781138315068,CRC PRESS,2,44.99,4809.43,https://www.routledge.com/Advanced-Data-Science-and-Analytics-with-Python/Rogel-Salazar/p/book/9781138315068,
,Advanced Data Structures,SAHA,CSE,2020,,9781138592605,Chapman & Hall,2,130.00,13897.00,https://www.routledge.com/Advanced-Data-Structures-Theory-and-Applications/Saha-Shukla/p/book/9781138592605,
,Advanced Databse Management Systems (2nd Edition),3G Editorial Board,CSE,2020,,9781984636911,3G E-Learning LLC,2,165.00,"12,853.50",https://www.delvepublishing.com/book/agriculture-and-life-sciences/ecological-genomics.html,
,Advanced Topics in Global Information Technologies,L. K. Solomon,CSE,2021,,9781682517871,Intelliz Press,2,145.00,"11,295.50",https://www.arclerpress.com/book/agriculture-and-life-sciences/principles-of--biochemsitry.html,
,Advances in Computed Tomography,Philip Marchington,CSE,2019,,9781682515037,Intelliz Press LLC,2,90.00,"7,011.00",https://www.3ge-learning.com/book/hospitality-and-tourism/food_and_wine_tourism_book_with_dvd.html,
,Advances in Metasearch Engine Technology,Fidel N. Martin,CSE,2019,,9781682514955,Intelliz Press LLC,2,90.00,"7,011.00",https://www.3ge-learning.com/book/computer-science/multimedia_systems_and_peripheral_devices.html,
