id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Machine Learning For Big Data Analysis,"Bhattacharyya, Siddhartha / Bhaumik, Hrishikesh / Mukherjee, Anirban / De, Sourav",CSE,2018,,9783110550320,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110551433,
,Integration Of Cad/Capp/Cam,"Xue, Jianbin",CSE,2018,,9783110573084,De Gruyter,8,61.95,5705.595,http://www.degruyter.com/isbn/9783110573091,
,Quick Boot,"Dice, Pete",CSE,2018,,9781501515385,De Gruyter,8,53.95,4968.795,http://www.degruyter.com/isbn/9781501506819,
,Intelligent Decision Support Systems,"Borra, Surekha / Dey, Nilanjan / Bhattacharyya, Siddhartha / Bouhlel, Mohamed Salim",CSE,2019,,9783110618686,De Gruyter,8,133.95,12336.795,http://www.degruyter.com/isbn/9783110621105,
,Intelligent Multimedia Data Analysis,"Bhattacharyya, Siddhartha / Pan, Indrajit / Das, Abhijit / Gupta, Shibakali",CSE,2019,,9783110550313,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110552072,
,The Internet Of Everything,"Dey, Nilanjan / Shinde, Gitanjali / Mahalle, Parikshit / Olesen, Henning",CSE,2019,,9783110625486,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110628517,
,"Simulating Business Processes For Descriptive, Predictive, And Prescriptive Analytics","Greasley, Andrew",CSE,2019,,9781547416745,De Gruyter,8,51.99,4788.279,http://www.degruyter.com/isbn/9781547400690,
,Personalized Human-Computer Interaction,"Augstein, Mirjam / Herder, Eelco / Wörndl, Wolfgang",CSE,2019,,9783110552478,De Gruyter,8,72.95,6718.695,http://www.degruyter.com/isbn/9783110552485,
,Big Data Security,Shibakali Gupta,CSE,2019,,9783110605884,De Gruyter,8,102.95,9481.695,http://www.degruyter.com/isbn/9783110606058,
,Technoscientific Research,"Morawski, Roman Z.",CSE,2019,,9783110583908,De Gruyter,8,72.95,6718.695,http://www.degruyter.com/isbn/9783110584066,
,Information And Communication,"Fang, Binxing / Jia, Yan",CSE,2019,,9783110597844,De Gruyter,8,89.95,8284.395,http://www.degruyter.com/isbn/9783110599435,
,Online Social Network Analysis Vol 1 : Structure And Evolution,"Fang, Binxing / Jia, Yan",CSE,2019,,9783110596069,De Gruyter,8,89.95,8284.395,http://www.degruyter.com/isbn/9783110599374,
