id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,3D GAME TEXTURES: CREATE PROFESSIONAL GAME ART USING PHOTOSHOP,LUKE AHEARN,CSE,2019,4TH,9780367239985,T&F INDIA,1,,Rs. 2495,https://www.routledge.com/3D-Game-Textures-Create-Professional-Game-Art-Using-Photoshop/Ahearn/p/book/9781138920064,
,"5G RADIO ACCESS NETWORKS: CENTRALIZED RAN, CLOUD-RAN AND VIRTUALIZATION OF SMALL CELLS",VENKATARAMAN HRISHIKESH,CSE,2019,,9780367239992,CRC PRESS,1,,Rs. 3995,https://www.routledge.com/5G-Radio-Access-Networks-Centralized-RAN-Cloud-RAN-and-Virtualization/Venkataraman-Trestian/p/book/9780367573867,
,"A Practical Guide To Database Design, ",Rex Hogan,CSE,2018,2ND,9781138578067,Chapman And Hall/Crc,1,BP 85,,https://www.routledge.com/A-Practical-Guide-to-Database-Design/Hogan/p/book/9781138578067,
,"Advanced Computing In Industrial Mathematics-12th Annual Meeting Of The Bulgarian Section Of Siam December 20-22, 2017, Sofia, Bulgaria Revised Selected Papers",Georgiev,CSE,2019,,9783319972763,Springer Nature,1,EUR 149.99,,https://www.springer.com/in/book/9783319972763,
,Advanced Database Theory And Applications,Yuan Chen,CSE,2018,,9781682513002,Intelliz Press,1,US$ 150,,http://intellizpress.com/index.php?route=product/product&product_id=320,
,Advanced Statistical Steganalysis,Rainer Böhme,CSE,2020,,9783662598474,Springer Nature (Sie),1,,Rs. 3595,https://www.springer.com/in/book/9783642143120,
,ADVANCED VIBRATION ANALYSIS,GRAHAM KELLY,CSE,2019,,9780367111595,T&F INDIA,1,,Rs. 1395,https://www.routledge.com/Advanced-Vibration-Analysis/Kelly/p/book/9780367389659,
,Advanced Wireless Sensing Techniques For 5g Networks,Bagwari Ashish Et.Al,CSE,2019,,9780815378372,Crc Press,1,BP 130,,https://www.routledge.com/Advanced-Wireless-Sensing-Techniques-for-5G-Networks/Bagwari-Tomar-Bagwari/p/book/9780815378372,
,Algebraic Cryptanalysis,Gregory Bard,CSE,2020,,9781493999132,Springer Nature,1,,Rs. 4295,https://www.springer.com/in/book/9780387887562,
,Algorithmic Differentiation Of Pragma-Defined Parallel Regions,Michael Förster,CSE,2020,,9783658274078,Springer Vieweg,1,,Rs. 4495,https://www.springer.com/in/book/9783658075965,
,An Introduction To Fuzzy Control,Ljung,CSE,2020,,9783662598719,Springer Nature,1,,Rs. 3995,https://www.springer.com/in/book/9783540606918,
,Analog Circuit Design,Johan Huijsing,CSE,2020,,9781493998982,Springer Nature (Sie),1,,Rs. 4795,https://www.springer.com/in/book/9780792376217,
,ANALYSIS OF MACHINE ELEMENTS USING SOLIDWORKS SIMULATION 2018,"Shahin S. Nudehi, John R. Steffen",CSE,2018,,9781630571610,T&F/ SDC,1,BP 51,,https://www.routledge.com/Analysis-of-Machine-Elements-Using-SOLIDWORKS-Simulation-2018/Nudehi-Steffen/p/book/9781630571610,
,ANGULAR STATISTICS,RAO,CSE,2020,1ST,9780367030001,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Angular-Statistics/Rao-Girija/p/book/9780367030001,
,Applications Of Monte Carlo Techniques In Science And Engineering,Ali H. Hessami,CSE,2018,,9781682513439,Intelliz Press,1,US$ 155,,http://intellizpress.com/index.php?route=product/product&product_id=362,
,Applications Of Monte Carlotechniques In Biology And Medicine,Marco Marcon,CSE,2018,,9781682513422,Intelliz Press,1,US$ 155,,http://intellizpress.com/index.php?route=product/product&product_id=361&search=9781682513422,
,APPLIED CLOUD DEEP SEMANTIC RECOGNITION : ADVANCED ANOMALY DETECTION,"Mehdi Roopaei, Peyman Najafirad (Paul Rad)",CSE,2018,1ST,9781138302228,T&F/CRC PRESS,1,BP 120,,https://www.routledge.com/Applied-Cloud-Deep-Semantic-Recognition-Advanced-Anomaly-Detection/Roopaei-Najafirad-Paul-Rad/p/book/9781138302228,
,AUTODESK INVENTOR 2019:  A TUTORIAL INTRODUCTION,L. Scott Hansen,CSE,2018,,9781630571696,T&F/ SDC,1,BP 53,,https://www.routledge.com/Autodesk-Inventor-2019/Hansen/p/book/9781630571696,
,Basics Of Game Design,Moore,CSE,2020,,9780367414375,A K Peters,1,,Rs. 3395,https://www.routledge.com/Basics-of-Game-Design/Moore/p/book/9781568814339,
,Bayesian Artificial Intelligence,Korb Kevin B. Et.Al,CSE,2020,2ND,9780815351405,Crc Press,1,,Rs. 3795,https://www.routledge.com/Bayesian-Artificial-Intelligence/Korb-Nicholson/p/book/9781439815915,
,BIG DATA ANALYSIS FOR BIOINFORMATICS AND BIOMEDICAL DISCOVERIES,SHUI QING YE,CSE,2019,,9780367240226,T&F INDIA,1,,Rs. 2995,https://www.routledge.com/Big-Data-Analysis-for-Bioinformatics-and-Biomedical-Discoveries/Ye/p/book/9780367783273,
,BIG DATA ANALYTICS IN CYBERSECURITY,ONUR SAVAS,CSE,2019,,9780367240233,CRC PRESS,1,,Rs. 3495,https://www.routledge.com/Big-Data-Analytics-in-Cybersecurity/Savas-Deng/p/book/9781032096360,
,BIG DATA ANALYTICS WITH APPLICATIONS IN INSIDER THREAT DETECTION,"Bhavani Thuraisingham, Pallabi Parveen, Mohammad Mehedy Masud, Latifur Khan",CSE,2018,,9781498705479,T&F/CRC PRESS,1,BP 99.99,,https://www.routledge.com/Big-Data-Analytics-with-Applications-in-Insider-Threat-Detection/Thuraisingham-Parveen-Masud-Khan/p/book/9781498705479,
,BIG DATA AND BUSINESS ANALYTICS,LIEBOWITZ. JAY,CSE,2019,,9781498774796,T&F INDIA,1,,Rs. 1295,https://www.routledge.com/Big-Data-and-Business-Analytics/Liebowitz/p/book/9781466565784,
,Big Data Computing: A Guide For Business And Technology Managers,Kale Vivek,CSE,2020,,9781138583429,Chapman And Hall/Crc,1,,Rs. 3795,https://www.routledge.com/Big-Data-Computing-A-Guide-for-Business-and-Technology-Managers/Kale/p/book/9781498715331,
,"BIG DATA DEMYSTIFIED: HOW TO USE BIG DATA, DATA SCIENCE AND AI TO MAKE BETTER BUSINESS DECISIONS AND GAIN COMPETITIVE ADVANTAGE",David Stephenson,CSE,2018,1ST,9781292218106,PEARSON,1,BP 16.99,,https://www.pearson.com/uk/educators/higher-education-educators/program/Stephenson-Big-Data-Demystified-How-to-use-big-data-data-science-and-AI-to-make-better-business-decisions-and-gain-competitive-advantage/PGM1984899.html?tab=overview,
,Big Data In The Arts And Humanities,Giovanni Schiuma Et.Al.,CSE,2018,,9781498765855,Auerbach Publications,1,BP 110,,https://www.routledge.com/Big-Data-in-the-Arts-and-Humanities-Theory-and-Practice/Schiuma-Carlucci/p/book/9781498765855,
,BIG DATA MINING AND ANALYTICS : COMPONENTS OF STRATEGIC DECISION MAKING,Stephan Kudyba,CSE,2018,,9781138494206,T&F INDIA,1,,Rs. 1295,https://www.routledge.com/Big-Data-Mining-and-Analytics-Components-of-Strategic-Decision-Making/Kudyba/p/book/9780367378813,
,BIG DATA RECOMMENDER SYSTEMS. VOLUME 2 APPLICATION PARADIGMS - COMPUTING AND NETWORKS,Osman Khalid ,CSE,2019,,9781785619779,IET PUBLISHING,1,BP 130,,https://shop.theiet.org/big-data-recommender-systems-2,
,Bioinformatics And Computational Biology Solutions Using R And Bioconductor,Robert Gentleman,CSE,2020,,9781493999590,Springer Nature,1,,Rs. 4995,https://www.springer.com/in/book/9780387251462,
,Biologically Inspired Algorithms For Financial Modelling,Anthony Brabazon,CSE,2020,,9783662599273,Springer Nature,1,,Rs. 3695,https://www.springer.com/in/book/9783540262527,
,Biomechanical Biofeedback Systems And Applications-,Kos,CSE,2018,,9783319913483,Springer Nature,1,EUR 84.99,,https://www.springer.com/in/book/9783319913483,
,Biostatistics: A Computing Approach,Anderson Stewart,CSE,2018,,9781138582514,Crc Press,1,,Rs. 2295,https://www.routledge.com/Biostatistics-A-Computing-Approach/Anderson/p/book/9781584888345,
