id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Abnormal Psychology: An Integrative Approach,Barlow/ Durand/ Hofmann,HSS,2019,08,9789353502881,Cengage,9,,825,https://www.cengage.co.in/category/higher-education/humanities-social-sciences/psychology/abnormal-psychology/abnormal-psychology-an-integrative-approach-8e-mf,
,Automobile Engineering    | k,Vashist,MME,2019,,9789389583731,Wiley,9,,495,https://www.wileyindia.com/automobile-engineering.html,
,Computational Fluid Dynamics and Heat Transfer | New,Thanigaiarasu,MME,2019,,9789390581740,Wiley,9,,495,https://www.wileyindia.com/computational-fluid-dynamics-and-heat-transfer.html,
,Chemistry-I (As per AICTE)                                                                                   ,"Dasmohapatra, Gourkrishna",General Interest Books,2019,2,9789390033003,Vikas Publishers,9,,425,https://shop.schandpublishing.com/chemistry-i-2e.html,
,Engineering Chemistry (AICTE RECOMMENDED TITLE),"Satya Prakash, Manisha Agarwal",General Interest Books,2019,Latest,9789380016757,Khanna,9,,399,Weblink,
,"A Textbook Of Physical Chemistry Volume-1, 6E",Kapoor,General Interest Books,2019,6,9789353165185,MHE,9,N/A,395,https://www.mheducation.co.in/a-textbook-of-physical-chemistry-volume-1-6e-9789353165185-india,
,"A Textbook Of Physical Chemistry Volume-2, 6E",Kapoor,General Interest Books,2019,6,9789353165208,MHE,9,N/A,395,https://www.mheducation.co.in/a-textbook-of-physical-chemistry-volume-2-6e-9789353165208-india,
,A Textbook Of Physical Chemistry Volume-6,Kapoor,General Interest Books,2019,4,9789353165215,MHE,9,N/A,375,https://www.mheducation.co.in/a-textbook-of-physical-chemistry-volume-6-9789353165215-india,
,INTRODUCTION GENERAL ORGANIC &BIOCHEMISTRY,BETTELHEIM/BROWN/CAMPBELL/FARRELL/TORRES,General Interest Books,2019,12,9781337571357,Cengage,9,249.95,,https://faculty.cengage.com/titles/9781337571357,
,A Textbook Of Physical Chemistry Volume-7,Kapoor,General Interest Books,2019,1,9789353165482,MHE,9,N/A,375,https://www.mheducation.co.in/a-textbook-of-physical-chemistry-volume-7-9789353165482-india,
,Engineering Chemistry 3ed.  | e | k,Gadag,General Interest Books,2019,,9789389307115,Wiley,9,,365,https://www.wileyindia.com/engineering-chemistry-3ed.html,
,"Engineering Chemistry, As per AICTE  | e | k",Anireddy,General Interest Books,2019,,9788126504473,Wiley,9,,599,https://www.wileyindia.com/engineering-chemistry-as-per-aicte.html,
