id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Fundamentals of Computer Graphics,MARSCHNER,CSE,2021,5th,9780367505035,AK Peters/CRC,5,110,11212.3,www.routledge.com/AK Peters/CRC,
,Software Development Patterns and Antipatterns,JONES,CSE,2021,1st,9781032017228,Auerbach,5,46.99,4789.6907,www.routledge.com/Auerbach,
,Rising from the Mailroom to the Boardroom,TURNER,CSE,2021,1st,9780367559991,CRC Press,5,59.99,6114.7807,www.routledge.com/CRC Press,
,Multidimensional Modulations in Optical Communication Systems,BETTI,CSE,2021,1st,9780367433338,CRC Press,5,49.99,5095.480700000001,www.routledge.com/CRC Press,
,Virus Bioinformatics,,CSE,2021,1st,9780367558604,Chapman & Hall,5,57.99,5910.920700000001,www.routledge.com/Chapman & Hall,
,COVID-19,,CSE,2021,1st,9780367674663,CRC Press,5,110,11212.3,www.routledge.com/CRC Press,
,AI for Digital Warfare,HAGEBACK,CSE,2021,1st,9781032048703,CRC Press,5,14.99,1527.9307,www.routledge.com/CRC Press,
,Game Balance,SCHREIBER,CSE,2021,1st,9781498799577,CRC Press,5,52.99,5401.270700000001,www.routledge.com/CRC Press,
,Dungeon Hacks,CRADDOCK,CSE,2021,1st,9781032051543,CRC Press,5,29.99,3056.8807,www.routledge.com/CRC Press,
,Artificial Intelligence for Business Optimization,UNHELKAR,CSE,2021,1st,9780367638368,CRC Press,5,76.99,7847.5907,www.routledge.com/CRC Press,
,Force: Animal Drawing,MATTESI,CSE,2021,2nd,9780367637071,CRC Press,5,32.99,3362.670700000001,www.routledge.com/CRC Press,
,Political Risk Management for the Global Supply Chain,KLIEM,CSE,2021,1st,9781032045375,Auerbach,5,44.95,4581.753500000001,www.routledge.com/Auerbach,
,Research Software Engineering with Python,IRVING,CSE,2021,1st,9780367698324,Chapman & Hall,5,52.99,5401.270700000001,www.routledge.com/Chapman & Hall,
,Machine Learning in Medicine,EL-BAZ,CSE,2021,1st,9781138106901,Chapman & Hall,5,150,15289.5,www.routledge.com/Chapman & Hall,
,"Writing for Animation, Comics, and Games",MARX,CSE,2021,2nd,9780815379379,CRC Press,5,38.99,3974.250700000001,www.routledge.com/CRC Press,
,Leading Megaprojects,AJAM,CSE,2021,1st,9781032081908,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Reinventing Clinical Decision Support,CERRATO,CSE,2021,1st,9781032081854,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,The Insider Threat,THOMPSON,CSE,2021,1st,9780367565305,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Optimal Enterprise,BELOV,CSE,2021,1st,9780367652432,CRC Press,5,99.99,10191.9807,www.routledge.com/CRC Press,
,The Sensible Guide to Program Management Professional (PgMP)® Success,WU,CSE,2021,1st,9780367702373,Auerbach,5,52.99,5401.270700000001,www.routledge.com/Auerbach,
,Software Engineering,FOSTER,CSE,2021,2nd,9780367746018,Auerbach,5,59.99,6114.7807,www.routledge.com/Auerbach,
,Developing Graphics Frameworks with Python and OpenGL,STEMKOSKI,CSE,2021,1st,9780367721800,CRC Press,5,89.99,9172.6807,www.routledge.com/CRC Press,
,Big Data Systems,SHAMSI,CSE,2021,1st,9781498752701,Chapman & Hall,5,74.99,7643.7307,www.routledge.com/Chapman & Hall,
,Software Engineering Perspectives in Computer Game Development,COOPER,CSE,2021,1st,9781138503786,Chapman & Hall,5,99.99,10191.9807,www.routledge.com/Chapman & Hall,
,The Cloud Computing Book,COMER,CSE,2021,1st,9780367706807,Chapman & Hall,5,74.99,7643.7307,www.routledge.com/Chapman & Hall,
,Advanced Trends in ICT for Innovative Business Management,,CSE,2021,1st,9780367460624,CRC Press,5,95.99,9784.2607,www.routledge.com/CRC Press,
,Autonomous and Integrated Parking and Transportation Services,CHATTERJEE,CSE,2021,1st,9781032085043,CRC Press,5,42.99,4381.970700000001,www.routledge.com/CRC Press,
,Big Data in Multimodal Medical Imaging,,CSE,2021,1st,9781032087276,Chapman & Hall,5,42.99,4381.970700000001,www.routledge.com/Chapman & Hall,
,Big Data in the Arts and Humanities,SCHIUMA,CSE,2021,1st,9781032095462,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Core Software Security,RANSOME,CSE,2021,1st,9781032027418,Auerbach,5,44.99,4585.8307,www.routledge.com/Auerbach,
,Creating a Greater Whole,SCHWARTZ,CSE,2021,1st,9781032095943,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Culturally Tuning Change Management,GLADDEN,CSE,2021,1st,9781032094649,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Cyber-Enabled Intelligence,,CSE,2021,1st,9781032090337,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Data Analytics,,CSE,2021,1st,9781032093673,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Data Analytics Applications in Education,,CSE,2021,1st,9781032096292,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Data Analytics Applications in Gaming and Entertainment,,CSE,2021,1st,9781032091907,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Data Analytics in Project Management,,CSE,2021,1st,9781032094526,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Data Driven Approaches for Healthcare,YANG,CSE,2021,1st,9781032088686,Chapman & Hall,5,42.99,4381.970700000001,www.routledge.com/Chapman & Hall,
,Data Stewardship for Open Science,MONS,CSE,2021,1st,9781032095707,Chapman & Hall,5,42.99,4381.970700000001,www.routledge.com/Chapman & Hall,
,Data-Driven Law,,CSE,2021,1st,9781032095004,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Developing Informed Intuition for Decision-Making,LIEBOWITZ,CSE,2021,1st,9781032090863,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Essentials of Blockchain Technology,,CSE,2021,1st,9781032087269,Chapman & Hall,5,42.99,4381.970700000001,www.routledge.com/Chapman & Hall,
,Essentials of Microservices Architecture,SURIANARAYANAN,CSE,2021,1st,9781032089898,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Fundamentals of Graphics Using MATLAB,PAREKH,CSE,2021,1st,9781032083414,CRC Press,5,42.99,4381.970700000001,www.routledge.com/CRC Press,
,Project Management beyond Waterfall and Agile,AJAM,CSE,2021,1st,9781032096025,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Project Management Lessons Learned,BOST,CSE,2021,1st,9781032095271,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Project. Program. Change,GAREIS,CSE,2021,1st,9781032095257,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Realizing Strategy through Projects: The Executive's Guide,MARNEWICK,CSE,2021,1st,9781032096056,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,Software Engineering for Variability Intensive Systems,,CSE,2021,1st,9781032093864,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,SRv6 Network Programming,LI,CSE,2021,1st,9781032016245,CRC Press,5,120,12231.6,www.routledge.com/CRC Press,
,Teaching Data Analytics,VOWELS,CSE,2021,1st,9781032091891,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,The Business of People,FRASER,CSE,2021,1st,9781032091037,Taylor & Franci,5,26.99,2751.0907,www.routledge.com/Taylor & Franci,
,The Human Change Management Body of Knowledge (HCMBOK®),GONCALVES,CSE,2021,3rd,9781032095837,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,The Stakeholder Perspective,PIROZZI,CSE,2021,1st,9781032088242,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Valuing Data,RAY,CSE,2021,1st,9781032095394,Taylor & Franci,5,42.99,4381.970700000001,www.routledge.com/Taylor & Franci,
,Software Testing,JORGENSEN,CSE,2021,5th,9780367358495,Auerbach,5,74.99,7643.7307,www.routledge.com/Auerbach,
,Transfer Learning through Embedding Spaces,ROSTAMI,CSE,2021,1st,9780367699055,Chapman & Hall,5,74.99,7643.7307,www.routledge.com/Chapman & Hall,
,Digitising Enterprise in an Information Age,OLSON,CSE,2021,1st,9781032066301,CRC Press,5,99.99,10191.9807,www.routledge.com/CRC Press,
,Custom Search - Discover more:,SHAMAEVA,CSE,2021,1st,9780367567392,Chapman & Hall,5,42.99,4381.970700000001,www.routledge.com/Chapman & Hall,
,Essential Enterprise Blockchain Concepts and Applications,,CSE,2021,1st,9780367564889,Auerbach,5,74.99,7643.7307,www.routledge.com/Auerbach,
,Knowledge Management in the Development of Data-Intensive Systems,,CSE,2021,1st,9780367430788,Auerbach,5,99.99,10191.9807,www.routledge.com/Auerbach,
,Research and Evidence in Software Engineering,,CSE,2021,1st,9780367358525,Auerbach,5,130,13250.9,www.routledge.com/Auerbach,
,Uncoded Multimedia Transmission,WU,CSE,2021,1st,9780367632953,CRC Press,5,85,8664.050000000001,www.routledge.com/CRC Press,
,Making Risky and Important Decisions,MURRAY-WEBSTER,CSE,2021,1st,9780367702342,Auerbach,5,26.99,2751.0907,www.routledge.com/Auerbach,
,V-Ray 5 for 3ds Max 2020,CARDOSO,CSE,2021,2nd,9780367625504,CRC Press,5,52.99,5401.270700000001,www.routledge.com/CRC Press,
,Recommender Systems,,CSE,2021,1st,9780367631857,CRC Press,5,99.99,10191.9807,www.routledge.com/CRC Press,
,An Introduction to Computational Systems Biology,RAMAN,CSE,2021,1st,9781138597327,Chapman & Hall,5,69.99,7134.0807,www.routledge.com/Chapman & Hall,
,Ripple-Down Rules,COMPTON,CSE,2021,1st,9780367644321,Chapman & Hall,5,49.99,5095.480700000001,www.routledge.com/Chapman & Hall,
,Software-Defined Wide Area Network Architectures and Technologies,SHENG,CSE,2021,1st,9780367695774,CRC Press,5,74.99,7643.7307,www.routledge.com/CRC Press,
,Closing the Analytics Talent Gap,PRIESTLEY,CSE,2021,1st,9780367486907,Auerbach,5,42.99,4381.970700000001,www.routledge.com/Auerbach,
,"Managing IoT and Mobile Technologies with Innovation, Trust, and Sustainable Computing",,CSE,2021,1st,9780367755867,CRC Press,5,34.99,3566.5307,www.routledge.com/CRC Press,
,Enterprise Wireless Local Area Network Architectures and Technologies,WU,CSE,2021,1st,9780367695750,CRC Press,5,74.99,7643.7307,www.routledge.com/CRC Press,
,A Guide to IT Contracting,OVERLY,CSE,2021,2nd,9780367489021,Auerbach,5,66.99,6828.2907,www.routledge.com/Auerbach,
,LTE Cellular Narrowband Internet of Things (NB-IoT),FATTAH,CSE,2021,1st,9780367636296,CRC Press,5,99.99,10191.9807,www.routledge.com/CRC Press,
,Applied User Data Collection and Analysis Using JavaScript and PHP,GOSLIN,CSE,2021,1st,9780367756802,Chapman & Hall,5,57.32,5842.627600000001,www.routledge.com/Chapman & Hall,
,Remote Delivery,QU,CSE,2021,1st,9780367490508,CRC Press,5,79.99,8153.3807,www.routledge.com/CRC Press,
,Deep Learning and Linguistic Representation,LAPPIN,CSE,2021,1st,9780367648749,Chapman & Hall,5,53.99,5503.2007,www.routledge.com/Chapman & Hall,
,Campus Network Architectures and Technologies,SHEN,CSE,2021,1st,9780367695743,CRC Press,5,74.99,7643.7307,www.routledge.com/CRC Press,
,Nonfunctional Requirements in Mobile Application Development,GUPTA,CSE,2021,1st,9780367740719,CRC Press,5,53.99,5503.2007,www.routledge.com/CRC Press,
,Cloud Data Center Network Architectures and Technologies,ZHANG,CSE,2021,1st,9780367695705,CRC Press,5,74.99,7643.7307,www.routledge.com/CRC Press,
,Building in Security at Agile Speed,RANSOME,CSE,2021,1st,9780367433260,Auerbach,5,59.99,6114.7807,www.routledge.com/Auerbach,
,Game Anim,COOPER,CSE,2021,2nd,9780367707651,CRC Press,5,42.99,4381.970700000001,www.routledge.com/CRC Press,
,Automated Software Testing with Cypress,PALANI,CSE,2021,1st,9780367699543,Auerbach,5,38.99,3974.250700000001,www.routledge.com/Auerbach,
,Inspiring Remote Tech Teams,SMITH,CSE,2021,1st,9780367644758,Auerbach,5,38.99,3974.250700000001,www.routledge.com/Auerbach,
,"Fundamentals of Image, Audio, and Video Processing Using MATLAB®",PAREKH,CSE,2021,1st,9780367895242,CRC Press,5,99.99,10191.9807,www.routledge.com/CRC Press,
,Cloud Reliability Engineering,,CSE,2021,1st,9780367467753,CRC Press,5,53.99,5503.2007,www.routledge.com/CRC Press,
,CyRM,MARTIN,CSE,2021,1st,9780367565312,CRC Press,5,57.99,5910.920700000001,www.routledge.com/CRC Press,
