id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Internet of Things and Big Data Analytics Toward Next-Generation Intelligence,"Nilanjan Dey, Aboul Ella Hassanien, Chintan Bhatt, Amira S. Ashour, Suresh Chandra Satapathy",CSE,2018,1st ed. 2018,978-3-319-60435-0,Springer Nature,3,,,,ELECTRONIC
,Haptic Interaction,"Shoichi Hasegawa, Masashi Konyo, Ki-Uk Kyung, Takuya Nojima, Hiroyuki Kajimoto",CSE,2018,1st ed. 2018,978-981-10-4157-0,Springer Nature,3,,,,ELECTRONIC
,The Theory of Info-Statics: Conceptual Foundations of Information and Knowledge,Kofi K. Dompere,CSE,2018,1st ed. 2018,978-3-319-61639-1,Springer Nature,3,,,,ELECTRONIC
,Advances in Intelligent Information Hiding and Multimedia Signal Processing,"Jeng-Shyang Pan, Pei-Wei Tsai, Junzo Watada, Lakhmi C. Jain",CSE,2018,1st ed. 2018,978-3-319-63859-1,Springer Nature,3,,,,ELECTRONIC
,Advances in Human Factors in Wearable Technologies and Game Design,"Tareq Ahram, Christianne Falcão",CSE,2018,1st ed. 2018,978-3-319-60639-2,Springer Nature,3,,,,ELECTRONIC
,Multi-Disciplinary Digital Signal Processing,E. S. Gopi,CSE,2018,1st ed. 2018,978-3-319-57430-1,Springer Nature,3,,,,ELECTRONIC
,Designing Embedded Systems with Arduino,"Tianhong Pan, Yi Zhu",CSE,2018,1st ed. 2018,978-981-10-4418-2,Springer Nature,3,,,,ELECTRONIC
,Advances in Communication of Design,Amic G. Ho,CSE,2018,1st ed. 2018,978-3-319-60477-0,Springer Nature,3,,,,ELECTRONIC
,"Embedded Flash Memory for Embedded Systems: Technology, Design for Sub-systems, and Innovations",Hideto Hidaka,CSE,2018,1st ed. 2018,978-3-319-55306-1,Springer Nature,3,,,,ELECTRONIC
,Link-Layer Cooperative Communication in Vehicular Networks,"Sailesh Bharati, Weihua Zhuang",CSE,2018,1st ed. 2018,978-3-319-58721-9,Springer Nature,3,,,,ELECTRONIC
,Context-Aware Communication and Computing: Applications for Smart Environment,"Punnarumol Temdee, Ramjee Prasad",CSE,2018,1st ed. 2018,978-3-319-59035-6,Springer Nature,3,,,,ELECTRONIC
,A Survey on Coordinated Power Management in Multi-Tenant Data Centers,"Thant Zin Oo, Nguyen H. Tran, Shaolei Ren, Choong Seon Hong",CSE,2018,1st ed. 2018,978-3-319-66062-2,Springer Nature,3,,,,ELECTRONIC
,Advances in Intelligent Information Hiding and Multimedia Signal Processing,"Jeng-Shyang Pan, Pei-Wei Tsai, Junzo Watada, Lakhmi C. Jain",CSE,2018,1st ed. 2018,978-3-319-63856-0,Springer Nature,3,,,,ELECTRONIC
,"Advances in Human Factors in Energy: Oil, Gas, Nuclear and Electric Power Industries","Paul Fechtelkotter, Michael Legatt",CSE,2018,1st ed. 2018,978-3-319-60204-2,Springer Nature,3,,,,ELECTRONIC
,Advances in The Human Side of Service Engineering,"Louis E. Freund, Wojciech Cellary",CSE,2018,1st ed. 2018,978-3-319-60486-2,Springer Nature,3,,,,ELECTRONIC
,Highlighting the Importance of Big Data Management and Analysis for Various Applications,"Mohammad Moshirpour, Behrouz Far, Reda Alhajj",CSE,2018,1st ed. 2018,978-3-319-60255-4,Springer Nature,3,,,,ELECTRONIC
,Optical Switching in Next Generation Data Centers,"Francesco Testa, Lorenzo Pavesi",CSE,2018,1st ed. 2018,978-3-319-61052-8,Springer Nature,3,,,,ELECTRONIC
,A First Course in Engineering Drawing,K. Rathnam,CSE,2018,1st ed. 2018,978-981-10-5358-0,Springer Nature,3,,,,ELECTRONIC
