id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,PROGRAMMING IN VISUAL BASIC 2010 EXP,BRADLEY,CSE,2013,1,9789351348689,McGraw Hill,7,,23976,,electronic
,EXPLORING PYTHON EXP,BUDD,CSE,2013,1,9789351346616,McGraw Hill,7,,23976,,electronic
,MICROSOFT OFFICE WORD 2010  MANUAL  EXP,OBER,CSE,2013,11,9789351348375,McGraw Hill,7,,23976,,electronic
,MICROSOF OFFIC ACCES 2010 A CASE APP EXP,O'LEARY,CSE,2013,1,9789351349594,McGraw Hill,7,,23976,,electronic
,O'LEARY SERIES MICROSOFT WINDOWS 7 EXP,O'LEARY,CSE,2013,7,9789351349624,McGraw Hill,7,,23976,,electronic
,MICROSOFT OFFI POWERPOI 2010 A CASE EXP,O'LEARY,CSE,2013,1,9789351349587,McGraw Hill,7,,23976,,electronic
,MICROSOFT OFFICE 2010 A CASE APPROAC EXP,O'LEARY,CSE,2013,1,9789351349617,McGraw Hill,7,,23976,,electronic
,MICROSOFT OFFIC WORD 2010  CASE APPR EXP,O'LEARY,CSE,2013,1,9789351349600,McGraw Hill,7,,23976,,electronic
,MICROSOFT ACCESS 2010 A CASE APPROAC EXP,O'LEARY,CSE,2013,1,9789351349648,McGraw Hill,7,,23976,,electronic
,MICROSOFT EXCEL 2010 A CASE APPROAC EXP,O'LEARY,CSE,2013,1,9789351349631,McGraw Hill,7,,23976,,electronic
,FUNDAMENTALS OF DIGITAL AND COMPUTER EXP,SANDIGE,CSE,2013,1,9789351349884,McGraw Hill,7,,23976,,electronic
,INTRODUCTION T9 OBJ ORIE PROG JAVA EXP,WU,CSE,2013,5,9789351345947,McGraw Hill,7,,23976,,electronic
,EBOOK C++ PROGRAMMING: AN OBJECT-ORIENTED APPROACH,FOROUZAN,CSE,2019,9,9781260569247,McGraw Hill,7,,23976,,electronic
,EBOOK COMPUTING ESSENTIALS 2019,O'LEARY,CSE,2018,5,9781260289794,McGraw Hill,7,,23976,,electronic
,EBOOK SOFTWARE ENGINEERING: A PRACTITIONER'S APPROACH,PRESSMAN,CSE,2019,9,9781260569650,McGraw Hill,7,,23976,,electronic
,EBOOK INTRO TO COMPUTING SYS: FROM BITS & GATES TO C & BEYON,PATT,CSE,2019,3,9781260569667,McGraw Hill,7,,23976,,electronic
,EBOOK BUSINESS DRIVEN INFORMATION SYSTEMS,BALTZAN,CSE,2018,6,9781260290219,McGraw Hill,7,,23976,,electronic
,GRID COMPUTING   EXP,JANAKIRAM D,CSE,2005,1,9780071336772,McGraw Hill,7,,15642,,electronic
,CLOUD COMPUTING A PRACTITIONER GUIDE-EB,DOSS,CSE,2013,1,9789351340218,McGraw Hill,7,,10782,,electronic
,iPGDCon 2016 EB,UKE,CSE,2016,1,9789352604333,McGraw Hill,7,,19800,,electronic
,ICRTET 2016 Volume 1 EB,Yuvaraj,CSE,2016,1,9789352604302,McGraw Hill,7,,19710,,electronic
,ICRTET 2016 Volume 2 EB,Yuvaraj,CSE,2016,1,9789352604319,McGraw Hill,7,,18270,,electronic
,Int. Conference on Computer and Electronics Engg.,MOHAMMAD ABDUL,CSE,2016,1,9789352604258,McGraw Hill,7,,34560,,electronic
,COMPUTER ORG & ARCH - WBUT EB,GHOSH,CSE,2012,1,9781259081088,McGraw Hill,7,,4410,,electronic
,COMP ORG & ARCHITEC WBUT EXP,GHOSH & PAL,CSE,2008,1,9789339215033,McGraw Hill,7,,4410,,electronic
,C PROG & DATA STR.-JNTU 4E EB,BALAGURUSAMY,CSE,2008,4,9781259081132,McGraw Hill,7,,4230,,electronic
,MICROCONTROLLER EB,UDAYSHANKAR,CSE,2009,1,9781259081194,McGraw Hill,7,,13410,,electronic
,SOFTWARE TESTING EB,LIMAYE,CSE,2009,1,9781259081316,McGraw Hill,7,,16920,,electronic
,FUND OF COMPUTERS EB,BALAGURUSAMY,CSE,2009,1,9781259081385,McGraw Hill,7,,9000,,electronic
,MOBILE COMPUTING   EXP,"TALUKDER, ASHOK",CSE,2010,2,9780071337519,McGraw Hill,7,,14220,,electronic
,PRIN OF COMPILER DESIGN EB,RAGHAVAN,CSE,2009,1,9781259081408,McGraw Hill,7,,17550,,electronic
,TEST YOUR SKILLS IN C 2E EB,SELVI,CSE,2009,2,9781259081507,McGraw Hill,7,,16920,,electronic
,COMPUTER ARCHITECTURE    EXP,"GOVINDRAJALU, B",CSE,2010,2,9780071336710,McGraw Hill,7,,15750,,electronic
,DIGITAL ELECTRONICS EB,MANDAL,CSE,2009,1,9781259081859,McGraw Hill,7,,14040,,electronic
,NANOCOMPUTING   EXP,"SAHNI, VISHAL",CSE,2008,1,9780071337366,McGraw Hill,7,,15840,,electronic
,EMBEDDED REAL TIME SYSTEMS   EXP,SRIRAM IYER,CSE,2003,1,9780071323185,McGraw Hill,7,,11430,,electronic
,Managing Glob Softwar Proj-EXP,"RAMESH, GOPALASWAMY",CSE,2005,1,9789351340508,McGraw Hill,7,,13500,,electronic
