id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Biological Language Model: Theory And Application,Dong Qiwen Et Al,CSE,2020,,9789811212949,World Scientific Publishing Co. Pte. Ltd.,4,98,7526.4,https://www.worldscientific.com/worldscibooks/10.1142/11629,
,Cognitive Satellite System,Zhang Jianjun Et Al,CSE,2020,,9789811214349,World Scientific Publishing Co. Pte. Ltd.,4,128,9830.4,https://www.worldscientific.com/worldscibooks/10.1142/11667,
,Big Data Security,Shibakali Gupta,CSE,2019,,9783110605884,De Gruyter,4,99.95,9295.35,http://www.degruyter.com/isbn/9783110606058,
,Information And Communication,"Fang, Binxing / Jia, Yan",CSE,2019,,9783110597844,De Gruyter,4,86.95,8086.35,http://www.degruyter.com/isbn/9783110599435,
,Intelligent Decision Support Systems,"Borra, Surekha / Dey, Nilanjan / Bhattacharyya, Siddhartha / Bouhlel, Mohamed Salim",CSE,2019,,9783110618686,De Gruyter,4,129.95,12085.35,http://www.degruyter.com/isbn/9783110621105,
,Intelligent Multimedia Data Analysis,"Bhattacharyya, Siddhartha / Pan, Indrajit / Das, Abhijit / Gupta, Shibakali",CSE,2019,,9783110550313,De Gruyter,4,99.95,9295.35,http://www.degruyter.com/isbn/9783110552072,
,Online Social Network Analysis Vol 1 : Structure And Evolution,"Fang, Binxing / Jia, Yan",CSE,2019,,9783110596069,De Gruyter,4,86.95,8086.35,http://www.degruyter.com/isbn/9783110599374,
,Online Social Network Analysis Vol 2 :Groups And Interaction,"Fang, Binxing / Jia, Yan",CSE,2019,,9783110597776,De Gruyter,4,86.95,8086.35,http://www.degruyter.com/isbn/9783110599411,
,Personalized Human-Computer Interaction,"Augstein, Mirjam / Herder, Eelco / Wörndl, Wolfgang",CSE,2019,,9783110552478,De Gruyter,4,69.95,6505.35,http://www.degruyter.com/isbn/9783110552485,
,Programming In C++,"Rai, Laxmisha",CSE,2019,,9783110595390,De Gruyter,4,55.95,5203.35,http://www.degruyter.com/isbn/9783110593846,
,Quick Boot,"Dice, Pete",CSE,2018,,9781501515385,De Gruyter,4,52,4836,http://www.degruyter.com/isbn/9781501506819,
,"Sharepoint Online Development, Configuration, And Administration","Beckner, Mark",CSE,2019,,9781547417346,De Gruyter,4,20.99,1952.07,http://www.degruyter.com/isbn/9781547401253,
,"Simulating Business Processes For Descriptive, Predictive, And Prescriptive Analytics","Greasley, Andrew",CSE,2019,,9781547416745,De Gruyter,4,51.99,4835.07,http://www.degruyter.com/isbn/9781547400690,
,Technoscientific Research,"Morawski, Roman Z.",CSE,2019,,9783110583908,De Gruyter,4,69.95,6505.35,http://www.degruyter.com/isbn/9783110584066,
,Elementary Synchronous Programming In C++ And Java Via Algorithms,"Janfada, Ali S.",CSE,2019,,9783110615494,De Gruyter Oldenbourg,4,39.95,3715.35,http://www.degruyter.com/isbn/9783110616484,
,Need-To-Know Technologies For A Successful Future,"Keogh, Jim",CSE,2018,,9781547416929,De|G Press,4,42.99,3998.07,http://www.degruyter.com/isbn/9781547400812,
,Ad Hoc And Sensor Networks:Theory And Applications 2Nd Ed,"Carlos De Morais Cordeiro, Dharma Prakash Agrawal",CSE,2020,,9780000988010,World Scientific Publishing Co. Pte. Ltd.,4,795,795,https://www.worldscientific.com/worldscibooks/10.1142/8066,
,Advanced Artificial Intelligence (Second Edition),Shi Zhongzhi,CSE,2019,,9789811200878,World Scientific Publishing Co. Pte. Ltd.,4,178,13670.4,https://www.worldscientific.com/worldscibooks/10.1142/11295,
,Advanced Artificial Intelligence 2Nd Ed,Shi Zhongzhi,CSE,2020,,9780000988409,World Scientific Publishing Co. Pte. Ltd.,4,1995,1995,https://www.worldscientific.com/worldscibooks/10.1142/11295,
,"Algorithms For Analysis, Inference, And Control Of Boolean Networks",Akutsu Tatsuya,CSE,2018,,9789813233423,World Scientific Publishing Co. Pte. Ltd.,4,98,7526.4,https://www.worldscientific.com/worldscibooks/10.1142/10801,
,"Artificial Intelligence In Highway Location And Alignment Optimization: Applications Of Genetic Algorithms In Searching, Evaluating, And Optimizing Highway Location And Alignments",Kang Min-Wook Et Al,CSE,2020,,9789813272804,World Scientific Publishing Co. Pte. Ltd.,4,98,7526.4,https://www.worldscientific.com/worldscibooks/10.1142/11059,
,Big Data And The Computable Society: Algorithms And People In The Digital World,Talia Domenico,CSE,2019,,9781786347060,World Scientific Publishing Co. Pte. Ltd.,4,28,2150.4,https://www.worldscientific.com/worldscibooks/10.1142/q0206,
,Big Data And The Computable Society: Algorithms And People In The Digital World,Talia Domenico,CSE,2020,,9780000988454,World Scientific Publishing Co. Pte. Ltd.,4,895,895,https://www.worldscientific.com/worldscibooks/10.1142/q0206,
,Clustering And Outlier Detection For Trajectory Stream Data,"Mao Jiali, Jin Cheqing & Zhou Aoying",CSE,2020,,9789811210457,World Scientific Publishing Co. Pte. Ltd.,4,98,7526.4,https://www.worldscientific.com/worldscibooks/10.1142/11555,
,Computer Vision And Robotics In Perioperative Process,Yi Xu Et Al,CSE,2018,,9789813233270,World Scientific Publishing Co. Pte. Ltd.,4,78,5990.4,https://www.worldscientific.com/worldscibooks/10.1142/10797,
,Concurrency Control And Recovery In Oltp Systems: High Scalability And Availability,Cai Peng & Zhou Aoying,CSE,2019,,9789813279223,World Scientific Publishing Co. Pte. Ltd.,4,98,7526.4,https://www.worldscientific.com/worldscibooks/10.1142/11242,
